,PeriodID,FarmID,Temperature,Humidity,CO2,Ammonia
0,64,7,27,30,51,77
1,57,12,28,35,74,12
2,28,53,5,54,26,74
3,68,29,23,78,9,62
4,64,5,29,30,68,24
5,56,54,8,71,20,35
6,4,12,11,52,74,76
7,81,38,18,53,72,57
8,65,52,16,78,63,73
9,91,13,1,61,78,60
10,49,39,15,40,69,21
11,10,2,23,42,65,72
12,8,15,14,56,56,39
13,20,29,1,46,57,78
14,65,7,1,46,73,44
15,38,31,26,54,62,52
16,13,10,2,50,9,39
17,47,44,26,41,58,11
18,36,25,9,43,22,55
19,45,34,13,33,62,5
20,77,36,28,58,62,60
21,93,24,13,44,69,9
22,2,52,14,40,36,8
23,15,6,21,33,71,62
24,74,31,20,32,23,46
25,20,21,7,78,23,63
26,52,59,16,77,20,15
27,94,24,21,37,15,14
28,9,43,12,45,6,69
29,40,23,11,78,50,7
30,51,45,22,68,25,17
31,69,45,17,58,69,78
32,49,43,20,50,14,30
33,52,18,12,71,34,16
34,35,42,16,46,64,43
35,78,51,8,70,79,43
36,36,41,25,57,51,56
37,24,27,22,39,74,38
38,43,36,17,53,35,56
39,64,19,5,73,68,39
40,31,22,28,59,49,8
41,65,23,8,72,45,41
42,86,2,20,50,51,63
43,75,43,9,37,26,24
44,87,37,5,72,18,36
45,65,13,19,77,7,18
46,77,57,26,33,25,48
47,63,20,27,50,59,18
48,47,49,7,68,74,37
49,59,38,25,75,41,51
50,49,18,14,35,12,41
51,19,53,9,67,55,32
52,90,14,28,41,16,50
53,43,34,1,39,7,51
54,63,29,19,43,47,49
55,11,18,20,77,31,15
56,38,59,15,54,40,67
57,7,33,8,52,27,74
58,43,45,8,46,61,46
59,14,33,14,67,23,67
60,22,40,8,33,7,13
61,89,26,2,68,16,41
62,95,25,11,31,5,11
63,61,11,20,42,33,34
64,27,8,22,41,63,11
65,14,2,9,49,24,17
66,73,52,3,33,40,24
67,8,45,12,30,62,9
68,52,8,18,56,48,78
69,38,39,19,65,46,58
70,35,16,8,32,53,55
71,39,52,10,70,39,22
72,60,7,15,72,29,54
73,87,3,13,49,44,5
74,75,54,29,37,27,28
75,3,25,1,34,26,52
76,28,19,6,54,15,62
77,25,11,8,77,46,42
78,98,42,18,66,54,47
79,21,43,8,46,64,60
80,73,4,29,76,71,69
81,52,13,6,33,29,63
82,21,18,8,58,12,54
83,15,5,22,65,57,69
84,60,30,14,74,5,30
85,56,44,9,74,38,65
86,11,16,13,39,56,43
87,42,59,11,31,66,77
88,39,51,29,33,77,77
89,75,59,5,70,21,29
90,23,19,29,32,16,79
91,38,31,16,54,76,62
92,50,54,25,48,7,19
93,32,23,23,75,55,13
94,95,23,18,34,31,29
95,25,2,8,75,36,27
96,17,45,13,70,31,5
97,29,48,8,76,17,20
98,73,17,3,76,50,64
99,23,5,19,51,74,58
